BAWA NAMA NINO😲😲 RICKY BERIKAN BUNGA UNTUK ELSA🥺 | IKATAN CINTA,https://www.youtube.com/watch?v=hhQH-wjiE30,29/9/2021,
Username,Comment,Date,Likes
,"MNC Bank (Babp) issues new shares.Get the opportunity to become a shareholder.Info https://bit.ly/infobabp.



===========================.",17 hours ago,21
Desi Kartika,"Wow, I like the style of Ricky ... reduce the ego of the obsession to Elsa TPI still focus on the target of Asyikk ... it doesn't mean losing, Rick is still the spirit of getting Elsa",16 hours ago,73
supriadi supriadi,See Elsa So Sweet SM Riki fits both of them ❤️ What else is Neneng SM Jesika.so entertained IC players are cool healthy always,13 hours ago,42
She r,"I never gave up Ricky to get Elsa, even though it broke out a little with the ego better, rather than not seeing SM skli",15 hours ago,25
yul asmi,"Salute the struggle of love ricky😍 should be as soon as adult men, who have an effort first, the final result is up to the Almighty ...",11 hours ago,9
Ana galih Wati,"Riky struggle of love that is so tiring, for the sake of Elsa happy until she sent flowers on behalf of Nino ... hopefully your struggle will be proportional to the results ...",16 hours ago,45
Anton Andilau,"I am happy to see Elsa and Riki So Sweet, you really love the sacrifice, it's hopefully the right to Riki, I see Neneng BC Jesika entertained IC players.cool healthy always everything",12 hours ago,15
Ineyz Andriani,Neyneng: Elsa Is Opa Opa Your Love Fighters Tuh😂,13 hours ago,29
30.Saidatul kholidiya,"We learn from Ricky that ""the highest level of loving is to regret""",9 hours ago,11
Evi Lusiana,"Haduuuuh Music Pas Mas Al and Angga Nide the page at Felix's Wife's House, Music Hearts Really Mas Indra Lesmana Indeed Top",10 hours ago,9
nuhaidah jabbar,"Glad to see the joy of Elsa, Senyumaya Manisss Deh",5 hours ago,4
Norlena Sari92,Like if there is an elsa scene with ricki,13 hours ago,29
Nabila Ahmed,Now Riki Cool LGi Looks Very Handsome But Kasian His Love has never been avenged Kasian / Kina Riki😀😀,15 hours ago,14
timur alfiati,"Riki didn't despair chasing the love of Elsa, even though Elsa remained cheerful just love Nino.Pity too ... the stress trio is very entertaining with her celotèhan, especially the neneng played by Mariana Putri, is very good to be a severe depression",12 hours ago,29
zenia,"The trio of sociality of love for action hehehe ... ""love fighters"" ... salute sm struggle riki ... now attitude & way of thinking riki is much better",14 hours ago,14
Tuti Susilawati,JNE trio who entertains cool cool ...,10 hours ago,6
Poco Poco,"Semngtt Ricky, the important GPP elsa is happy, hopefully Mr. Sut can move the bow, Ricky can match SM Elsa.",8 hours ago,4
Jamela Darsim,"The fate of Mu Ricki ""Sllu was rejected and not lucky 😄😄",14 hours ago,8
syahira amelia,"Hope Elsa Ricky can unite ... men who love them are always there for Elsa ... slowly Elsa already served her sentence, at least Elsa must be able to move on from nino men who can never love Elsa ...",10 hours ago,4
Dewi Private Kids,Pity Riki the love is always rejected ... 😂,16 hours ago,16
Amelia Lopez,Elsa when can you forget nino and there is a loyal riki compared to the bad nino immediately thrown away like that like andin first,17 hours ago,38
Sill-ASMR,"2:52 Andin says ""Papa can be home not"" should be said (maybe) replaced (boast) bru more precisely 😁😁😁🙏🙏🙏🙏",15 hours ago,13
Ibu Desiaker0hoi5,Loving doesn't have to have good job riky,10 hours ago,4
Eliza Coollection Fhfhh,"if we love with slask
we don't expect any rewards or have
and always try to give happiness with any way
because extraordinary love is only owned by a sincere person",10 hours ago,3
Emi Sastra,"Why is it financially Papa Jess Lebh Sultan, I still like Mas Al, Look ... A more charming aldebaran apples using sunglasses❤️❤️The real good looking",14 hours ago,15
Memel Prupuk,"Elsa Pantes His Similar Riki, From Same Nino ..",15 hours ago,9
Rangga Dwi Saputra Agustoni,"Poor Ricky
For the sake of wanting to meet Elsa and make her happy tensyum back until IAA sacrificed her feelings and then held it on continuously 🥲🥲🥲",16 hours ago,9
Lyand Nau,"Please, please contact Elsa and Ricky, surely there are many baper",7 hours ago,6
Ayu Fauziah,Ricky's spirit of love fighters😂😂,10 hours ago,4
Mulyatisa 99,"Be patient, Riki, may you get a woman who is better than Elsa ...",8 hours ago,1
Eni Yurianik,"Almost all IC players dropout ftv either the main actor and supporters of their faces familiar to the action of handsome handsome cntik smart .... I have not seen the Glenca, however, it is natural that it is natural to depression",7 hours ago,1
Rohana Budiharto,Still Miin the aura of Mas Al is better at PD PP Jesica.Even though the sultan.,12 hours ago,3
Desi Kartika,Pael can't gag tu ricky maybe his brother ricky who wants to be entered situ elo anyway 😭🤣🤣🤣..canda his lie ricky sequence,16 hours ago,4
Danik Dewi Kusuma,"I've seen Riki rich, how come I cry it me 😭",7 hours ago,2
Tri Ji,Keep the spirit of Riki rest assured that the struggle will not betray the results ...,36 minutes ago,
Abdul alim,And in the end Elsa and Ricky dating in the real world😂,10 hours ago,4
Saripah Watini,Neneng is cool acting ... add the atmosphere ... funny.,9 hours ago,2
simbok e Vian,"Why is getting here, Ricky is getting handsome",7 hours ago,3
Ayu Taman,Ayoookk Mas Jgan Amp Kendoor 😂😂 Duuuhh Kciaan Ricky Cinta Her Handping Hand 🤣🤣yya Like Jdi Happy 😀😀,5 hours ago,1
Anah wapender,Moga is quickly revealed who Alpari's family callers let the same time be happy and always romantic,15 hours ago,8
Suadi KuSip,"Goodness and attention Ricy can healed Elsa even in the name of Nino.Tomorrow to heal, surely Elsa knows Riki who does good and attention is not nino",8 hours ago,2
Dragon Cell,"Patience Riki Elsa may be happy if the same nino, the important thing is that Glenca can only be happy with Rendi Dirl and it's more real happiness and can not be replaced with anything ... I hope you are more matched in real life than just sinteron ... Even though it's sinteronAlso like if you are together ... but if the Bupen and Pasud still make the ending the story of Elsa Nino, you have to accept it, I don't like it ... but still my chosen Riki Elsa let even be put together",10 hours ago,5
Elizabeth Cornelia Amadea Christabell,The Nonku Tyung Sumeng,13 hours ago,7
amallia,"Sweet bgt elsa ricky😭 baper semalem😭 please do not sm ricky, the elsa is made alone first to improve yourself, don't turn it back.😢",11 hours ago (edited),7
Delia Rimadanti,Strive for your love Rendi Jhon for Glenca Hahahaha is the Cape Jd Riki Mah,9 hours ago,2
